incidentDate,state,cityOrCounty,address,killed,injured,operations: d.operations,type,age
11-Apr-14,Indiana,Richmond,North 15th and H Streets,0,4,N/A,Mass Shooting,
09-Apr-14,Tennessee,Lookout Valley,Kellys Ferry Road and Kellys Ferry Place,3,1,N/A,Mass Shooting,
09-Apr-14,Illinois,Rockford,300 North Sunset,0,4,N/A,Mass Shooting,
07-Apr-14,Louisiana,New Orleans,500 block of South Alexander Street,0,4,N/A,Mass Shooting,
06-Apr-14,Massachusetts,Springfield,90 Worthington St.,0,4,N/A,Mass Shooting,
06-Apr-14,Oklahoma,Oklahoma City,Northwest 29th Street and Portland Avenue,0,4,N/A,Mass Shooting,
05-Apr-14,Illinois,Chicago,4300 W Wilcox Street,1,5,N/A,Mass Shooting,
05-Apr-14,Arizona,Phoenix,West Palm Lane near 54th Avenue,1,3,N/A,Mass Shooting,
05-Apr-14,California,Fairfield,Orchid Street ,0,4,N/A,Mass Shooting,
02-Apr-14,Texas,Fort Hood,Motor Pool Road and Tank Destroyer Boulevard,4,16,N/A,Mass Shooting,
30-Mar-14,North Carolina,Charlotte,4300 Sunset Road,0,5,N/A,Mass Shooting,
30-Mar-14,Mississippi,Starkville,N/A,0,5,N/A,Mass Shooting,
23-Mar-14,Texas,Arlington,2700 Majesty Drive,1,3,N/A,Mass Shooting,
23-Mar-14,California,San Francisco,Turk and Taylor,0,7,N/A,Mass Shooting,
23-Mar-14,California,Long Beach,601 Long Beach Boulevard,1,3,N/A,Mass Shooting,
21-Mar-14,South Carolina,North Charleston,7550 Dorchester Road,0,4,N/A,Mass Shooting,
16-Mar-14,Texas,Beaumont,Fourth Street,3,1,N/A,Mass Shooting,
16-Mar-14,Georgia,Waynesboro,4960 Highway 80 West ,0,4,N/A,Mass Shooting,
14-Mar-14,New York,Brooklyn,S. Second and Roebling Sts,0,4,N/A,Mass Shooting,
09-Mar-14,Ohio,Fremont,531 W State St,3,1,N/A,Mass Shooting,
09-Mar-14,Texas,Austin, 4900 block of West Race Avenue,0,6,N/A,Mass Shooting,
08-Mar-14,California,Richmond,1600 block of First Street,1,3,N/A,Mass Shooting,
08-Mar-14,Illinois,Chicago,4900 West Race Ave,0,6,N/A,Mass Shooting,
05-Mar-14,South Carolina,Pelzer,Law Street,3,2,N/A,Mass Shooting,
01-Mar-14,Pennsylvania,Pittsburgh,Hamilton Avenue,1,4,N/A,Mass Shooting,
01-Mar-14,Michigan,Detroit,7800 Gratiot Av.,0,4,N/A,Mass Shooting,
25-Feb-14,Virginia,Glade Spring,Graceland Lane,5,1,N/A,Mass Shooting,
22-Feb-14,California,Wilmington,1200 block of W Papeete St,0,4,N/A,Mass Shooting,
20-Feb-14,Indiana,Indianapolis,3400 block of South Parker,4,0,N/A,Mass Shooting,
20-Feb-14,California,Alturas,300 W 1st St,4,1,N/A,Mass Shooting,
16-Feb-14,Texas,Dallas,2600 block of South Harwood Street,1,7,N/A,Mass Shooting,
16-Feb-14,Indiana,Fort Wayne,Lafayette Street and East Tillman Road,0,5,N/A,Mass Shooting,
16-Feb-14,Texas,Fort Worth, 115 NW 25th St.,1,4,N/A,Mass Shooting,
16-Feb-14,Florida,Orange County,4500 block of Riviera Shores ,1,6,N/A,Mass Shooting,
16-Feb-14,Florida,Jacksonville,1187 S. Edgewood Ave.,1,4,N/A,Mass Shooting,
15-Feb-14,Nevada,Las Vegas,Sahara and Maryland ,0,5,N/A,Mass Shooting,
12-Feb-14,Indiana,Gary,2220 block of South Broadway Av,0,5,N/A,Mass Shooting,
12-Feb-14,California,Stockton,Constitution Park,1,3,N/A,Mass Shooting,
12-Feb-14,California,Oakland,37th and International ,1,3,N/A,Mass Shooting,
07-Feb-14,Florida,Miami,Northwest 41st Street and 9th Avenue ,0,5,N/A,Mass Shooting,
06-Feb-14,Louisiana,New Orleans,4600 block of Downman Road,0,4,N/A,Mass Shooting,
05-Feb-14,Illinois,Chicago,6740 N. Clark St,1,3,N/A,Mass Shooting,
03-Feb-14,Indiana,Franklin,2100 block of Bridlewood Dr,3,2,N/A,Mass Shooting,
27-Jan-14,Washington,Seattle,2nd Avenue South and South Main Street,1,4,N/A,Mass Shooting,
27-Jan-14,North Carolina,Rocky Mount,Edwards Street ,0,4,N/A,Mass Shooting,
25-Jan-14,Florida,Belle Glade,600 block of Covenant Drive,0,4,N/A,Mass Shooting,
25-Jan-14,Illinois,Chicago,S. Union Av and W. 51st St,1,4,N/A,Mass Shooting,
21-Jan-14,New Jersey,Newark,Springfield Avenue ,2,3,N/A,Mass Shooting,
20-Jan-14,Virginia,Manassas,8509 Rixlew Ln,0,4,N/A,Mass Shooting,
16-Jan-14,Utah,Spanish Fork,37 N. 630 West,5,0,N/A,Mass Shooting,
16-Jan-14,Oklahoma,Ardmore,N/A,2,4,N/A,Mass Shooting,
14-Jan-14,California,Los Angeles,West 86th Street,0,4,N/A,Mass Shooting,
13-Jan-14,Michigan,Detroit,800 block of Calvert St,0,4,N/A,Mass Shooting,
12-Jan-14,Louisiana,Tallulah,N/A,0,6,N/A,Mass Shooting,
12-Jan-14,Alabama,Huntsville,University Drive,0,5,N/A,Mass Shooting,
12-Jan-14,Illinois,Elgin,300 block of North Street,0,5,N/A,Mass Shooting,
11-Jan-14,Louisiana,Tallulah,3600 block of Highway 80 W,0,6,N/A,Mass Shooting,
11-Jan-14,Oregon,Portland,Southeast Stark and 99th ,0,5,N/A,Mass Shooting,
03-Jan-14,New York,Queens,Farmers Boulevard and 133rd Avenue,1,3,N/A,Mass Shooting,
01-Jan-14,Virginia,Norfolk,Rockingham Street and Berkley Avenue Extended,2,2,N/A,Mass Shooting,
